Case,Mode,Distance,Time
1,Car,3.1,11
2,Bus,4.2,36
3,Cycle,4.8,18
4,Bus,3.2,26
5,Bus,4.5,42
6,Cycle,3.4,14
7,Bus,1,4
8,Cycle,0.9,4
9,Cycle,3.4,13
10,Bus,1.1,5
11,Bus,4.7,41
12,Car,2.4,9
13,Car,3,NaN
14,Bus,4.3,34
15,Walk,0.3,6
16,Bus,3.1,24
17,Walk,2.5,33
18,Cycle,0.9,3
19,Wilk,0.6,9
20,Car,5,22
21,Cycle,1.9,8
22,Cycle,3.7,14
23,Car,3.2,14
24,Walk,1.6,20
25,Cycle,2.3,9
26,Cycle,4.9,19
27,Cur,4.5,18
28,Car,2.5,10
29,Cycle,2.9,11
30,Bus,3.7,30
31,Car,5.2,22
32,Bus,1.5,13
33,Walk,0.4,5
34,Bus,1.5,10
35,Bus,3,26
36,Cycle,2.2,8
37,Bus,4.4,40
38,Car,3.5,16
39,Walk,4.4,57
40,Walk,2.2,28
41,Car,1.7,9
41,Car,5.2,22
43,Car,2.7,9
44,Bus,2.2,17
45,Bus,4.4,39
41,Bus,4,36
47,Car,1.3,5
48,Bus,2.2,16
49,Car,4,16
50,Cycle,3.5,13
51,Car,3.6,16
52,Car,4,17
53,Walk,0.5,7
54,Bus,4.9,42
55,Car,4,16
56,Car,2.2,9
57,Car,5.1,23
58,Bus,4.3,37
59,Cycle,3.3,12
60,Bus,2.6,25
61,Bus,3.4,33
62,Cycle,3.6,14
63,Walk,3.2,40
64,Car,4.3,18
65,Car,5.5,22
66,Walk,1.6,22
67,Car,2,8
68,Car,1.8,7
69,Car,2.7,12
70,Cycle,0.6,2
71,Bas,5.2,44
72,Cycle,2.4,9
73,Cycle,3,12
74,Car,1.5,8
75,Walk,0.4,5
76,Walk,3.6,47
77,Car,2.4,10
78,Walk,0.2,3
79,Bus,1.6,11
80,Walk,4.3,56
81,Cycle,1.1,4
82,Cycle,2.3,10
83,Bus,5.4,47
84,Car,5.2,19
85,Car,3.8,17
86,Bus,4,34
87,Walk,4,52
88,Walk,1,13
89,Bus,4.1,36
90,Car,1.2,5
91,Car,4.5,18
92,Bus,1.9,19
93,Cycle,2.6,10
94,Cycle,2.7,11
95,Cycle,3.8,14
96,Cycle,3,11
97,Car,1.2,5
98,Walk,4.4,57
99,Bus,1.6,12
100,Bus,3.7,31
101,Cycle,4.1,16
102,Car,4.1,16
103,Bus,5.2,46
104,Car,99,14
105,Car,5.4,24
106,Car,4.2,18
107,Cycle,4.3,16
108,Car,2.5,12
109,Cycle,0.6,3
110,Walk,2.8,37
111,Car,3.7,15
112,Walk,2.5,32
113,Cycle,3.3,13
114,Cycle,2.6,10
115,Walk,2.4,NaN
116,Cycle,1.3,5
117,Bus,4.6,41
118,Car,2.4,9
119,Walk,3,38
120,Bus,5.3,44
121,Walk,3.3,43
122,Bus,4.3,34
123,Cycle,3,11
124,Walk,2.2,29
125,Walk,1.4,19
